County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,Latitude,FCC Issued,Longitude,FCC Accepted,Location Points
Cayuga,Badman's Bushel Basket,14698 Route 90  Cortland,14698 Route 90,Cortland,NY,13045,Scott Badman,6077495233,,Tue-Sun  9am-6:30pm,May 9-October 30,P/M,Y,N,42.63978,N,-76.27522,Y,"(42.63978, -76.27522)"
Chautauqua,Fredonia Farmers' Market,"Village Hall Barker Commons , 9-11 Church St.",11 Church St,Fredonia,NY,14063,Wendy Lord,7164102276,http://www.facebook.com/FredoniaFarmersMarket,Saturday  9am-1pm,May 19-October 27,P/M,Y,Y,42.44064,N,-79.33235,Y,"(42.44064, -79.33235)"
Chautauqua,Fredonia WINTER Farmers' Market,321 East Main St. (Rt 20) Masonic Forest Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Anneliese Bruegel,7169652716,http://www.facebook.com/FredoniaFarmersMarket,Saturday 10am-1pm,November 3-May 11,M/X/W/P,N,Y,42.44764,Y,-79.315,Y,"(42.44764, -79.315)"
Chautauqua,Roberto Fred Farm Stand,10655 Temple Rd Dunkirk,10655 Temple Rd,Dunkirk,NY,14048,Roberto Fred,7163667200,,Daily  9am-6pm,May-November,P/M,Y,Y,42.464201,N,-79.361694,Y,"(42.464201, -79.361694)"
Chautauqua,Westfield Farmers' Market,Rt 20 and Rt 394,Rt 20 and Rt 394,Westfield,NY,14787,Kathleen Mayer,7167530367,http://www.westfieldny.com/farmers-market,Saturday  9am-2pm,May 26-September 29,P/M,Y,N,42.32203,N,-79.57812,Y,"(42.32203, -79.57812)"
Chemung,Elmira Wisner Park Farmers' Market,Wisner Park 200 N Main Street,200 N Main St,Elmira,NY,14901,Jennifer Herrick,6077340341,http://www.wisnermarket.org,Thursday  10am-2pm,May 31-September 27,P/M,Y,Y,42.08943,Y,-76.80801,Y,"(42.08943, -76.80801)"
Chenango,Enough...and a Little Bit More Farm Stand,4776 State Highway 41 Greene,4776 State Highway 41,Greene,NY,13778,Jim Girton,6076567242,http://www.enoughandalittlebitmore.com,"Mon-Fri  11am-6pm, Sat/Sun  3pm-7pm",May 1-October 31,P/M,Y,N,42.37041,N,-75.78369,Y,"(42.37041, -75.78369)"
Chenango,Oxford WINTER Farmers' Market,"St. Paul's Parish House Comm Ctr, 34 Main St. Oxford",34 Main St.,Oxford,NY,13830,Mina Takahashi,6072266843,https://www.facebook.com/OxfordNYFarmersMarket,1st Saturday  10am-1pm,November-April,M/X/W/P,N,N,42.440234,N,-75.594121,Y,"(42.440234, -75.594121)"
Chenango,Pires Farmers' Market,6066 State Hwy 12  Norwich,6066 State Highway 12,Norwich,NY,13815,Richard Williams,6073342676,,"Mon-Sat  9am-5pm, Sunday  10am-2pm",May 1-November 31,P/M,Y,N,42.54525,N,-75.52498,Y,"(42.54525, -75.52498)"
Clinton,Northern Orchard Farm Stand,470 Union Road Peru,470 Union Road,Peru,NY,12972,Jenna Mulbury,5186439718,http://www.northernorchard.com,Daily  10am-6pm,May 1-December 23,P/M/X,Y,Y,44.5569,N,-73.53324,Y,"(44.5569, -73.53324)"
Clinton,Plattsburgh Sat Farmers and Craft Market,City parking lot  Durkee & Broad St.,Broad St and Durkee St,Plattsburgh,NY,12901,Bonnie Gonyo,5184934644,https://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Saturday  9am-2pm,May 12-October 6,P/M,Y,Y,44.69535,Y,-73.45226,Y,"(44.69535, -73.45226)"
Clinton,Plattsburgh Wed Farmers' & Crafters Market,City parking lot  Durkee & Broad St.,Broad St and Durkee St,Plattsburgh,NY,12901,Bonnie Gonyo,5184934644,https://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Wednesday  10am-2pm,June 27-September 26,P/M,Y,Y,44.69535,Y,-73.45226,Y,"(44.69535, -73.45226)"
Clinton,Pray's Family Farm Stand,391 Route 9N  Keeseville,391 Route 9N,Keeseville,NY,12944,Darcy Pray,5188349130,http://www.praysmarket.com,Daily  9am-6pm,May 1-October 31,P/M,Y,N,44.49367,N,-73.50798,Y,"(44.49367, -73.50798)"
Columbia,City of Hudson Farmers' Market,DMV parking lot Sixth & Columbia Sts.,Columbia St and North 6th St,Hudson,NY,12534,Branda Maholtz,5188287217,http://www.hudsonfarmersmarketny.com,Saturday  9am-1pm,April 28-November 17,P/M,Y,Y,42.24866,Y,-73.78369,Y,"(42.24866, -73.78369)"
Columbia,Copake Hillsdale Farmers' Market,Roeliff Jansen Park 9140 Route 22,9140 Route 22,Hillsdale,NY,12529,Diane Creed,5183251430,http://www.copakehillsdalefarmersmarket.com,Saturday  9am-1pm,May 26-October 27,P/M,Y,Y,42.17077,N,-73.51771,Y,"(42.17077, -73.51771)"
Columbia,Hudson WINTER Farmers' Market,601 Union St.,601 Union St.,Hudson,NY,12534,Marilyn Cederoth,5189650552,,Saturday  10am-1pm,"Dec, February-April",X/W/P,N,N,42.24738,N,-73.78535,Y,"(42.24738, -73.78535)"
Columbia,Kinderhook Farmers' Market,Kinderhook Village Square 1 Hudson St,US Route 9 and Hudson St,Kinderhook,NY,12106,Kim Voltz,5187559293,http://www.kinderhookfarmersmarket.com,Sat  8:30am-12:30pm,May 5-October 13,P/M,Y,N,42.3954,N,-73.69817,Y,"(42.3954, -73.69817)"
Columbia,Scarecrow Farm Stand,20 Old Barrington Rd Claverack,20 Old Barrington Rd,Claverack,NY,12534,Virginia Ambrose,5188212453,,Fri/Sat/Sun 10am-5pm,May1-December 24,P/M,Y,N,42.2105,N,-73.67909,Y,"(42.2105, -73.67909)"
Cortland,Cincinnatus Farmers' Market,"Cortland-Chenango Rural Services, 2704 Lower Cincinnatus Rd.",2704 Lower Cincinnatus Rd,Cincinnatus,NY,13040,Paul Halstead,6078368972,,Saturday  9am-12pm,May 12-November 17,P/M,Y,N,42.53812,N,-75.89662,Y,"(42.53812, -75.89662)"
Cortland,Dave's Veggies Farm Market,5178 NYS Route 41 Homer,5178 NY-41,Homer,NY,13077,David Root,6077494955,http://www.facebook.com/daves.veggies,Daily  12pm-6pm,May 1-October 31,P/M,Y,Y,42.659118,N,-76.203042,Y,"(42.659118, -76.203042)"
Cortland,Homer Farmers' Market,28 Main St.,28 Main Street,Homer,NY,13077,Kristen Case,6077493322,https://www.facebook.com/homerfarmersmarket/,"Saturday  9am-12pm, Wed  4pm-6pm",May 19-October 27,P/M,Y,Y,42.63966,N,-76.17827,Y,"(42.63966, -76.17827)"
Cortland,Plunkett Farms Farm Stand,2180 Tower Road Cortland,2180 Tower Road,Cortland,NY,13045,John and Carla Plunkett,6077530001,,Daily 8am-6pm,May 16-November 30,P/M,Y,N,42.55495,N,-76.13123,Y,"(42.55495, -76.13123)"
Delaware,Franklin Farmers' Market,Chapel Hall 25 Institute St.,25 Institute St.,Franklin,NY,13775,Brian Brock,5187060612,https://www.facebook.com/Franklin-NY-Farmers-Market-123602750996783/,Sunday  10am-2pm,May 28-October 7,P/M,Y,N,42.33901,N,-75.1672,Y,"(42.33901, -75.1672)"
Delaware,Pakatakan Farmers' Market,"Round Barn of Halcottville, 46676 State Hwy 30",46676 State Highway 30,Halcottville,NY,12438,Madalyn Warren,6073266177,http://roundbarnmarket.org,"Saturday  9am-2pm, Oct 20-Nov 10am-1pm",May 19-November 24,P/M,Y,N,42.20103,N,-74.59909,Y,"(42.20103, -74.59909)"
Dutchess,Amenia Farmers' Market,Amenia Town Hall 4988 Route 22,4974 Route 22,Amenia,NY,12501,Sophie Purdy Meili,4133297389,,Fridays  3pm-7:30pm,May-October,P/M,N,Y,41.851201,N,-73.555719,Y,"(41.851201, -73.555719)"
Dutchess,Amenia WINTER Farmers' Market,Amenia Town Hall 4988 Route 22,4988 New York 22,Amenia,NY,12501,Sophie Purdy Meili,4133297389,http://www.ameniafarmersmarket.com,"Saturday  10am-2pm, 1st & 3rd Saturday  Jan-Apr",November-April,M/X/W/P,N,Y,41.851397,N,-73.554943,Y,"(41.851397, -73.554943)"
Dutchess,Arlington Farmers' Market,"Vassar College Alumni Lawn , 123 Raymond Ave. Poughkeepsie",123 Raymond Ave,Poughkeepsie,NY,12603,Bob Legacy,9144747533,http://www.arlingtonhasit.org,Thursday  3pm-7pm,May 31-October 25,P/M,Y,N,41.68187,N,-73.89636,Y,"(41.68187, -73.89636)"
Dutchess,Beacon Farmers' Market,"Veteran's Place, btwn Henry & Main st.",Veteran's Place,Beacon,NY,12508,Paloma Wake,5108514265,,Sunday  10am-3pm,May 6-November 18,P/M,Y,Y,41.50377,Y,-73.96848,Y,"(41.50377, -73.96848)"
Dutchess,Beacon WINTER Farmers' Market,413 Main St.,413 Main Street,Beacon,NY,12508,Paloma Wake,5108514265,,Sunday  10am-2pm,December 2-April 7,X/W/P,Y,Y,41.50321,Y,-73.96674,Y,"(41.50321, -73.96674)"
Dutchess,Rhinebeck Farmers' Market,Municipal lot 61 E. Market St.,61 East Market St,Rhinebeck,NY,12572,Andrea Bartolomeo,5188211481,http://www.rhinebeckfarmersmarket.com,Sunday  10am-2pm,May 13-December 30,P/M,Y,Y,41.92704,N,-73.91027,Y,"(41.92704, -73.91027)"
Dutchess,Village of Fishkill Farmers' Market,Old Grand Union lot 1004 Main St. Rt. 52,1004 Main St,Fishkill,NY,12524,Julie Spann,9144565120,http://www.vofishkill.us,Thu  11:30am-6:30pm,May 31-October 25,P/M,Y,N,41.53212,N,-73.90574,Y,"(41.53212, -73.90574)"
Erie,Alden Farmers' Market,"13119 Broadway (Route 20) , btwn Tractor Supply & Save a Lot",13119 Broadway,Alden,NY,14004,Alyssa Cooper,7169376177,http://www.aldenny.org,Saturday  8:30am-1pm,May 12-October 13,P/M,Y,N,42.89784,N,-78.49904,Y,"(42.89784, -78.49904)"
Erie,Downtown Buffalo Country Market,350 Main St. outside btwn Court & Church Streets,344 Main Street,Buffalo,NY,14202,Jillian Johnson,7168563150,,Tue/Thu  10am-2:30pm,May 17-October 25,P/M,Y,Y,42.88418,N,-78.87491,Y,"(42.88418, -78.87491)"
Erie,East Aurora Farmers Market-Saturday,Aurora Village (TOPS) Plaza 123 Grey St.,123 Grey St,East Aurora,NY,14052,Barbara Andres,7163482801,http://facebook.com/EastAuroraFarmersMarket,Sat  7am-1pm,May 5-November 21,P/M,Y,Y,42.76593,N,-78.63413,Y,"(42.76593, -78.63413)"
Erie,East Aurora Farmers' Market-Wednesday,Aurora Village (TOPS) Plaza 123 Grey St.,123 Grey St,East Aurora,NY,14052,Barbara Andres,7163482801,http://facebook.com/EastAuroraFarmersMarket,Wed  7am-1pm,May 5-November 21,P/M,Y,Y,42.76593,Y,-78.63413,Y,"(42.76593, -78.63413)"
Erie,Elmwood Village Farmers' Market,Bidwell Parkway corner of Elmwood Ave.,Elmwood Ave and Bidwell Pkwy,Buffalo,NY,14222,Karen Vilonen,7166915388,http://www.elmwoodvillage.org,Saturday  8am-1pm,May 12-November 24,P/M,Y,Y,42.92371,N,-78.87702,Y,"(42.92371, -78.87702)"
Erie,Hamburg Farmers' Market,Village municipal parking lot at Main & Buffalo Sts. (enter on Main & Union Sts),30 Buffalo St,Hamburg,NY,14075,Jamie Decker,7166497917,http://www.hamburg-chamber.org,Saturday  7:30am-1pm,May 5-October 27,P/M,Y,N,42.71677,N,-78.82994,Y,"(42.71677, -78.82994)"
Erie,Holland Farmers' Market,Municipal lot Route 16 Next to Fire Hall,25 North Main St,Holland,NY,14080,Marg Wnek,7165379590,http://www.thehollandmkt.com,Sunday  8:30am-1pm,May 6-October 28,P/M,Y,N,42.64149,N,-78.54248,Y,"(42.64149, -78.54248)"
Erie,Kwilos Farm Farm Stand,7678 Erie Rd.  Derby,7678 Erie Rd.,Derby,NY,14074,Joseph Kwilos,7165496201,,"Mon-Sat  9am-6pm, Saturday  10am-6pm",May 10-October 31,P/M,Y,N,42.67729,N,-79.02178,Y,"(42.67729, -79.02178)"
Erie,Tonawanda Community Farmers' Market,13 Young St.  Tonawanda,13 Young Street,Tonawanda,NY,14150,Charles Gilbert,7166958646,http://www.tonawandacity.com,Sunday  10am-2pm,May 6-October 14,P/M,Y,N,43.02036,N,-78.87628,Y,"(43.02036, -78.87628)"
Erie,Williamsville Mill Farmers' Market,"Amherst Town Hall Parking Lot, 5583 Main St.",5583 Main St,Williamsville,NY,14221,Ellie Grenauer,7169846572,http://www.williamsvillefarmersmarket.com,Saturday  8am-1pm,May 19-October 27,P/M,Y,N,42.962438,N,-78.745756,Y,"(42.962438, -78.745756)"
Franklin,Whitten Family Farm Stand-The Hub,320 Park St.  Tupper Lake,320 Park Street,Tupper Lake,NY,12986,Cherie Whitten,3153285559,http://www.whittenfamilyfarm.com,Thu/Fri  12pm-7pm,May 31-October 26,P/M,Y,N,44.22528,N,-74.44821,Y,"(44.22528, -74.44821)"
Fulton,Gloversville Farmers' Market,Elm Street Pavilion,9 Elm Street,Gloversville,NY,12078,Michael Tillson,5188829306,http://www.fmfma.org,Sat  8:30am-12:30pm,May 5-October 20,P/M,Y,Y,43.052604,Y,-74.345796,Y,"(43.052604, -74.345796)"
Fulton,Northville Friday Farmers' Market,"Waterfront Park, S. Main St.",162 South Main St,Northville,NY,12134,Wendy Reu,5188634211,http://www.villageofnorthville.com/attraction/northville-farmers-market/,Friday  2pm-5pm,May-Mid-October,P/M,Y,N,43.22568,N,-74.17102,Y,"(43.22568, -74.17102)"
Greene,Black Horse Farms Farm Stand,10094 Rt. 9W,10094 Rte 9W,Athens,NY,12015,Chellie Apa,5187318776,http://www.blackhorsefarms.com,Daily  9am-5pm,March 24-December 24,W/P/M/X,Y,N,42.30634,N,-73.85043,Y,"(42.30634, -73.85043)"
Herkimer,Dolgeville Farmers' Market,Village Pavilion on S. Helmer Ave.,South Helmer Avenue,Dolgeville,NY,13329,Barbara Campbell,3154293548,https://www.facebook.com/DolgevilleFarmersMarket/,Saturday  9am-1pm,May 26-October 27,P/M,Y,N,43.10057,N,-74.7755,Y,"(43.10057, -74.7755)"
Herkimer,Dolgeville WINTER Farmers'  Market,78 South Main Street Askarada Place,78 South Main Street,Dolgeville,NY,13329,Dean Foreman,5187289602,,"1st and 3rd Sats  9am-1pm, Sats weekly in December",January-April,W/P,N,N,43.09993,N,-74.77387,Y,"(43.09993, -74.77387)"
Herkimer,Juliano's Farm Market FS,2365 State Route 5 Utica,2365 State Route 5,Utica,NY,13502,Deborah E Juliano,3157230022,,"Mon-Sat 8am-6pm, Sunday 8am-4pm",April 9-November 1,P/M,Y,N,43.09608,N,-75.14626,Y,"(43.09608, -75.14626)"
Herkimer,Little Falls Farmers' & Flea Market,M&T Bank parking lot  Albany St.,Albany Street and 2nd Street,Little Falls,NY,13365,Mary Davis,3158662619,,Saturday  8am-12pm,May 5-October 27,P/M,Y,N,43.04284,N,-74.85828,Y,"(43.04284, -74.85828)"
Herkimer,Little Falls WINTER Farmers Market,Travelodge 20 Albany St.,20 Albany St.,Little Falls,NY,13365,Michael Skwara,3159850088,,2nd & 4th Sat  9am-1pm,November-April,M/X/W/P,N,N,43.042006,N,-74.859812,Y,"(43.042006, -74.859812)"
Herkimer,Salisbury Farmers' Market,Town Hall Parking Lot 126 State Route 29A,126 State Route 29A,Salisbury Center,NY,13329,Gina Thompson,3154299102,https://www.facebook.com/salisburyfarmersmarket13454/,Friday  9am-1pm,May 25-October 12,P/M,Y,N,43.14304,N,-74.78544,Y,"(43.14304, -74.78544)"
Jefferson,Alexandria Bay Farmers' Market,Kinney Drugs Route 12,21 Route 12,Alexandria Bay,NY,13607,Keri Jobson,3154829531,http://www.visitalexbay.org,Friday  9am-3pm,May 25-September 14,P/M,N,N,44.33191,N,-75.91425,Y,"(44.33191, -75.91425)"
Jefferson,Carthage Farmers' Market,"Farmers Market Pavilion , 150 Riverside Dr. (behind Carthage Rescue Squad)",150 Riverside Drive,Carthage,NY,13619,Jeanette Turner,3154933590,http://www.carthageny.com,Friday  7am-2pm,May 25-October 26,P/M,Y,N,43.97714,N,-75.61247,Y,"(43.97714, -75.61247)"
Jefferson,Watertown Farm & Craft Market,"317 Washington St. , Dulles State Office Bldg.",317 Washington Street,Watertown,NY,13601,Kylie Peck,3157884400,http://www.watertownny.com,Wed 6:30am-3pm,May 23-October 10,P/M,Y,Y,43.97173,N,-75.91116,Y,"(43.97173, -75.91116)"
Kings,Bay Ridge Greenmarket,3rd Ave. & 95th St. inside Walgreen's parking lot,Third Ave and 95th St,Brooklyn,NY,11209,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,May 5-November 17,P/M,Y,Y,40.61724,N,-74.03362,Y,"(40.61724, -74.03362)"
Kings,Bushwick Maria Hernandez Pk Farmers' Market,Knickerbocker Ave @ Starr & Suydam,Knickerbocker Avenue,Brooklyn,NY,11206,Michael Klidas,7184164597,http://www.riseboro.org,Saturday  9am-3pm,May 19-December 15,P/M,Y,Y,40.70257,N,-73.92497,Y,"(40.70257, -73.92497)"
Kings,Bushwick Rheingold Archway Farmers' Market,553 Bushwick Ave.,533 Bushwick Avenue,Brooklyn,NY,11206,Michael Klidas,7184164597,http://www.riseboro.org,Sunday  10am-4pm,May 20-December 16,P/M,Y,Y,40.69958,N,-73.93574,Y,"(40.69958, -73.93574)"
Kings,McGolrick Park Farmers' Market,"Inside McGolrick Park near Pavilion, Btw Driggs & Nassau Aves.",103 Russel Street,Brooklyn,NY,11222,Emily Lee,9149234837,http://www.downtoearthmarkets.com,Sunday  10am-4pm,May 6-November 18,P/M,Y,Y,40.72405,N,-73.94428,Y,"(40.72405, -73.94428)"
Kings,Project EATS Marcus Garvey Apartments Farm Stand,300 Chester St. & Dumont Ave,300 Chester Street,Brooklyn,NY,11212,Maryanne Speroni,2126121528,http://www.projectEATS.org,Wednesday 11am-5pm,June 13-November 13,P/M,Y,Y,40.66432,N,-73.91036,Y,"(40.66432, -73.91036)"
Lewis,Colwell's Farm Stand and Garden Center,6007 State Route 12 Glenfield,6007 State Route 12,Glenfield,NY,13343,Michael Colwell,3153767402,http://www.colwellsfarmmarket.com,"Mon-Sat  8am-7pm, Sunday  9am-6pm",April 1-December 24,P/M/X,Y,Y,43.71844,N,-75.41148,Y,"(43.71844, -75.41148)"
Lewis,Harrisville Farmers' Market,State Street  Harrisville,State Street and Main Street,Harrisville,NY,13648,Laura La Platney,3157771689,,Saturday  9am-4pm,May 26-October 27,P/M,Y,N,44.14849,N,-75.31571,Y,"(44.14849, -75.31571)"
Livingston,Dansville Farmers' Market,50 Maple St.,50 Maple St,Dansville,NY,14437,Gary Roth,5853352963,http://ragingwindsfarmmarket.com/?page_id=9,Friday  11am-4pm,May 25-October 5,P/M,Y,Y,42.56606,N,-77.70838,Y,"(42.56606, -77.70838)"
Livingston,Mount Morris Farmers' Market,103 Main St.,103 Main Street,Mount Morris,NY,14510,Anna Spencer,5854479185,https://www.facebook.com/mountmorrisfarmersmarket/,Friday  12pm-6pm,May 25-September 28,P/M,Y,N,42.7245,N,-77.87333,Y,"(42.7245, -77.87333)"
Madison,Cazenovia Farmers Market,Memorial Park Albany St./US 20,48 Albany St. Memorial Park,Cazenovia,NY,13035,Aileen Randolph,3154154426,http://www.cazenoviachamber.com,Saturday  9am-2pm,May 12-October 27,P/M,Y,N,42.92975,N,-75.85456,Y,"(42.92975, -75.85456)"
Madison,Cazenovia WINTER Farmers' Market,"American Legion Hall, 26 Chenango St",26 Chenango Street,Cazenovia,NY,13035,Aileen Randolph,3154154426,http://www.cazenoviachamber.com,3rd Saturday  10am-1pm,November 18 -April 21,M/X/W/P,N,N,42.92467,N,-75.85168,Y,"(42.92467, -75.85168)"
Madison,Cottage Lawn Farmers' Market,"435 Main St., Madison Co. Historical Society Oneida",435 Main St.,Oneida,NY,13421,Mary Patricia,3153633028,https://www.mchs1900.org/farmers-market,Tuesday  3pm-7pm,June 5-September 4,P/M,Y,N,43.08719,N,-75.64705,Y,"(43.08719, -75.64705)"
Madison,Parry's Hardware WINTER Farmers' Market,100 Utica Street Hamilton,100 Utica Street,Hamilton,NY,13346,Gwenn Werner,3158240002,http://www.parryshamilton.com,2nd Sat  10am-1pm,November-April,M/X/W/P,N,N,42.832844,N,-75.548027,Y,"(42.832844, -75.548027)"
Madison,Village of Hamilton Farmers' Market,Village Green 3 Broad St.,Broad St and Payne St,Hamilton,NY,13346,Kim Taranto,3158241111,http://www.hamilton-ny.gov,Saturday  8am-1pm,May 5-October 27,P/M,Y,N,42.82684,N,-75.54436,Y,"(42.82684, -75.54436)"
Monroe,Brighton Farmers' Market,Brighton High School lot  1150 Winton Rd. South,1150 Winton Rd South,Rochester,NY,14618,Sue Gardner-Smith,5852698918,http://www.brightonfarmersmarket.org,Sunday  9am-1pm,May 13-November 18,P/M,Y,Y,43.12204,Y,-77.56808,Y,"(43.12204, -77.56808)"
