County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,Latitude,FCC Issued,Longitude,FCC Accepted,Location Points
Albany,Veggie Mobile-Howe Library,Schuyler & Broad St. Albany,Schuyler St and Broad Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,YR,Y,Y,42.64112,Y,-73.75802,Y,"(42.64112, -73.75802)"
Albany,Veggie Mobile-Koinonia Primary Care,533 Clinton Ave. & N. Lake Ave. Albany,533 Clinton Avenue,Albany,NY,12206,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,YR,Y,Y,42.66508,Y,-73.76804,Y,"(42.66508, -73.76804)"
Albany,Veggie Mobile-Lincoln Square,3 Lincoln Square Albany,3 Lincoln Square,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon 5pm-5:45pm,Year-round,YR,Y,Y,42.6428,Y,-73.76118,Y,"(42.6428, -73.76118)"
Albany,Veggie Mobile-North Albany YMCA,616 N. Pearl St. Albany,616 North Pearl Street,Albany,NY,12204,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,YR,Y,Y,42.67368,N,-73.73953,Y,"(42.67368, -73.73953)"
Albany,Veggie Mobile-South Mall Towers,101 S. Pearl St. Albany,101 South Pearl Street,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri  11am-12:15pm,Year-round,YR,Y,Y,42.6465,Y,-73.75482,Y,"(42.6465, -73.75482)"
Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,YR,Y,Y,42.64093,N,-73.75363,Y,"(42.64093, -73.75363)"
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,Y,Y,42.65998,Y,-73.77276,Y,"(42.65998, -73.77276)"
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,Y,Y,42.66215,Y,-73.74859,Y,"(42.66215, -73.74859)"
Allegany,Angelica WINTER Farmers' Market,Grange Hall of Angelica,55 Park Circle,Angelica,NY,14709,Danelle Mascho,5856106924,http://www.facebook.com/AngelicaFarmersMarket/,Saturday  10am-2pm,Nov 10 & Dec 8,M/X,N,N,42.30578,N,-78.0154,Y,"(42.30578, -78.0154)"
Allegany,Riverside Farms Farm Market,3314 Riverside Drive  Scio,3314 Riverside Drive,Scio,NY,14895,Jan Ruprecht,5858086405,,"Mon-Thu  11am-6pm, Fri/Sat  10am-7pm, Sunday  12pm-6pm",April 14-December 30,P/M/X,Y,N,42.14093,N,-77.97553,Y,"(42.14093, -77.97553)"
Allegany,White Valley Farm Stand,381 Heselton Rd. Whitesville,381 Heselton Road,Whitesville,NY,14897,Justin Ellison,5858086061,,"Mon-Fri  12pm-5pm, Saturday  10am-5pm, Sunday  12pm-5pm",Year-round,YR,Y,N,42.01631,N,-77.84727,Y,"(42.01631, -77.84727)"
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amy Willis,6075845019,http://www.bcregionalmkt.com,Saturday  9am-1pm,Year-round,YR,Y,Y,42.12921,Y,-75.90609,Y,"(42.12921, -75.90609)"
Broome,CHOW MM-ABC Apts,100 Chenango St. Binghamton,100 Chenango St,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Tuesday 11:30am-1pm,Year-round,YR,Y,Y,42.10179,N,-75.90955,Y,"(42.10179, -75.90955)"
Broome,CHOW MM-Binghmaton Plaza,33 W State St. Binghamton,33 W State st.,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,M/F 1pm-3pm,Year-round,YR,Y,N,42.10925,N,-75.90552,Y,"(42.10925, -75.90552)"
Broome,CHOW MM-Broome County Library,185 Court St. Binghamton,185 Court St.,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Mon/Wed/Fri 9am-11:30am,Year-round,YR,Y,N,42.09999,N,-75.90674,Y,"(42.09999, -75.90674)"
Broome,CHOW MM-First Ward Senior Ctr,226 Clinton St. Binghamton,226 Clinton St,Binghamton,NY,13905,Jack Seman,6077249130,http://www.broomecouncil.net,Tuesday 9am-10:30am,Year-round,YR,Y,N,42.10687,N,-75.93015,Y,"(42.10687, -75.93015)"
Broome,CHOW MM-Johnson City Senior Center,30 Brocton St. Johnson City,30 Brocton St.,Johnson City,NY,13790,Jack Seman,6077249130,http://www.broomecouncil.net,Thursday 10:30am-11:45am,Year-round,YR,Y,N,42.11849,N,-75.95493,Y,"(42.11849, -75.95493)"
Broome,CHOW MM-Lee Barta Center,108 Liberty St. Binghamton,108 Liberty St,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Thursday 1pm-3:30pm,Year-round,YR,Y,N,42.10911,N,-75.89979,Y,"(42.10911, -75.89979)"
Broome,CHOW MM-Town&Country Apts,100 Roberts St. Binghamton,100 Robers St,Binghamton,NY,13901,Jack Seman,6077249130,http://www.broomecouncil.net,Wednesday 1pm-3pm,Year-round,YR,Y,N,42.1093,N,-75.90168,Y,"(42.1093, -75.90168)"
Cattaraugus,Canticle Farm Stand,3809 Old State Road Allegany,3809 Old State Road,Allegany,NY,14706,Mark Printz,7163789714,http://www.canticlefarm.org,"Tue/Fri  2pm-6pm, Dec-June: Tuesday only",Year-round,YR,Y,Y,42.09601,N,-78.50618,Y,"(42.09601, -78.50618)"
Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd. Olean,1685 Olean Portville Rd.,Olean,NY,14760,Keith Miller,7163722521,,"Mon-Sat  9am-6pm, Sunday  9am-5pm",April-December,P/M/X,Y,N,42.071439,N,-78.39814,Y,"(42.071439, -78.39814)"
Cayuga,Owen Orchards Farm Stand,8174 Grant Ave.  Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Mon-Sat  9am-7pm, Sunday  9am-6pm",August 1-March 1,M/X/W,Y,Y,43.01314,N,-76.50749,Y,"(43.01314, -76.50749)"
Chautauqua,Abers Acres Farm Stand,884 Route 394  Kennedy,884 Rte. 394,Kennedy,NY,14747,Sue Abers,7162672431,http://www.abersacres.com,"Jun-Oct: Daily, 9am-6:30pm, Nov-May:  Daily , 10am-4pm",Year-round,YR,Y,Y,42.14495,N,-79.10996,Y,"(42.14495, -79.10996)"
Chautauqua,Fredonia WINTER Farmers' Market,321 East Main St. (Rt 20) Masonic Forest Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Anneliese Bruegel,7169652716,http://www.facebook.com/FredoniaFarmersMarket,Saturday 10am-1pm,November 3-May 11,M/X/W/P,N,Y,42.44764,Y,-79.315,Y,"(42.44764, -79.315)"
Chenango,Lamb's Quarters Organic Farm Stand,213 Pierce Rd.  Plymouth,213 Pierce Road,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquartersinc.com,"Daily  12pm-Dusk, Closed  Wed/Sat",Year-round,YR,Y,N,42.60058,N,-75.59991,Y,"(42.60058, -75.59991)"
Chenango,Norwich Farmers' Market,"East Park  North Broad St. & Main St., Winter Indoor:  75 North Broad St.",North Broad St. and Main St.,Norwich,NY,13815,Sandy Pierce,6073344928,https://www.facebook.com/NorwichNYFarmersMarket,Wednesday  10am-4pm,Year-round,YR,Y,Y,42.53055,Y,-75.52365,Y,"(42.53055, -75.52365)"
Chenango,Oxford WINTER Farmers' Market,"St. Paul's Parish House Comm Ctr, 34 Main St. Oxford",34 Main St.,Oxford,NY,13830,Mina Takahashi,6072266843,https://www.facebook.com/OxfordNYFarmersMarket,1st Saturday  10am-1pm,November-April,M/X/W/P,N,N,42.440234,N,-75.594121,Y,"(42.440234, -75.594121)"
Chenango,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd.  Plymouth,252 Plymouth-North Norwich Rd.,Plymouth,NY,13832,Kathryn Clemens,6073365834,,"Mon-Fri  8am-8pm, Sat  12pm-8pm, Sun  12pm-6pm",Year-round,YR,Y,N,42.62427,N,-75.59152,Y,"(42.62427, -75.59152)"
Clinton,Northern Orchard Farm Stand,470 Union Road Peru,470 Union Road,Peru,NY,12972,Jenna Mulbury,5186439718,http://www.northernorchard.com,Daily  10am-6pm,May 1-December 23,P/M/X,Y,Y,44.5569,N,-73.53324,Y,"(44.5569, -73.53324)"
Clinton,Rulfs Orchard Farm Stand,531 Bear Swamp Road Peru,531 Bear Swamp Road,Peru,NY,12972,Sharon Rulfs,5186438636,http://www.rulfsorchard.com,"Mon-Sat 6am-6pm, Sunday 6am-5pm",Year-round,YR,Y,N,44.5786,N,-73.49804,Y,"(44.5786, -73.49804)"
Columbia,Copake Hillsdale WINTER Farmers' Market,"Hillsdale United Methodist Church, Route 23 and Route 22",73 County Route 11A,Craryville,NY,12521,Diane Creed,5183251430,http://www.copakehillsdalefarmersmarket.com,Saturday 10am-2pm,Nov 3-Dec 22,M/X,Y,Y,42.17196,N,-73.59918,Y,"(42.17196, -73.59918)"
Columbia,Hudson WINTER Farmers' Market,601 Union St.,601 Union St.,Hudson,NY,12534,Marilyn Cederoth,5189650552,,Saturday  10am-1pm,"Dec, February-April",X/W/P,N,N,42.24738,N,-73.78535,Y,"(42.24738, -73.78535)"
Columbia,Rolling Grocer 19-Site 1,Columbia & 2nd Sts.  Hudson,Columbia and 2nd Sts.,Hudson,NY,12534,Briggin Scharf,6469818416,,Wed  3pm-7pm,Year-round,YR,Y,N,42.25517,N,-73.7925,Y,"(42.25517, -73.7925)"
Columbia,Rolling Grocer 19-Site 2,71 Prospect Ave.  # 210  Hudson,71 Prospect Avenue,Hudson,NY,12534,Briggin Scharf,6469818416,,Friday  3pm-7pm,Year-round,YR,Y,N,42.24584,N,-73.77752,Y,"(42.24584, -73.77752)"
Columbia,Rolling Grocer 19-Site 3,5th & State Sts.  Hudson,5th and State Sts.,Hudson,NY,12534,Briggin Scharf,6469818416,,Saturday  1:30pm-4pm,Year-round,YR,Y,N,42.25082,N,-73.78494,Y,"(42.25082, -73.78494)"
Columbia,Rolling Grocer 19-Site 4,"Front St. btwn State and Columbia Sts., Hudson",Front Street,Hudson,NY,12534,Briggin Scharf,6469818416,,Saturday  10am-1pm,Year-round,YR,Y,N,42.25759,N,-73.79459,Y,"(42.25759, -73.79459)"
Delaware,Catskill Cattle Farm Stand,96 Laurel Bank Ave Deposit,96 Laurel Bank Ave,Deposit,NY,13754,Lonny Schaefer,6074675762,http://www.catskillcattle.com,"Mon-Sat  9am-6pm, Sun  12pm-4pm, Winter:  M-F 10am-4pm, Winter:  Sat 10am-5pm",Year-round,YR,Y,N,42.06673,N,-75.40725,Y,"(42.06673, -75.40725)"
Delaware,La Basse Cour Farm Stand,3228 Gun House Hill Rd.  South Kortright,3228 Gun House Hill Road,South Kortright,NY,13842,Diane Frances,6075389707,http://www.la-basse-cour.com,Daily  10am-6pm,June 1-December 1,M/X,Y,N,42.41111,N,-74.71033,Y,"(42.41111, -74.71033)"
Dutchess,Amenia WINTER Farmers' Market,Amenia Town Hall 4988 Route 22,4988 New York 22,Amenia,NY,12501,Sophie Purdy Meili,4133297389,http://www.ameniafarmersmarket.com,"Saturday  10am-2pm, 1st & 3rd Saturday  Jan-Apr",November-April,M/X/W/P,N,Y,41.851397,N,-73.554943,Y,"(41.851397, -73.554943)"
Dutchess,Beacon WINTER Farmers' Market,413 Main St.,413 Main Street,Beacon,NY,12508,Paloma Wake,5108514265,,Sunday  10am-2pm,December 2-April 7,X/W/P,Y,Y,41.50321,Y,-73.96674,Y,"(41.50321, -73.96674)"
Dutchess,Millerton Farmers' Market,6 Dutchess Ave. Millerton Methodist Church,6 Dutchess Ave.,Millerton,NY,12546,John Nowak,5184077030,http://www.millertonfarmersmarket.org/,Saturday  10am-2pm,Year-round,YR,Y,Y,41.9543,N,-73.50977,Y,"(41.9543, -73.50977)"
Dutchess,Z Farms Farm Stand,355 Poplar Hill Rd.  Dover Plains,355 Poplar Hill Road,Dover Plains,NY,12522,Diana Zlotmkov,9144720749,http://www.zfarmsorganic.com,Daily  8am-8pm,Year-round,YR,Y,N,41.75631,N,-73.55278,Y,"(41.75631, -73.55278)"
Erie,Clinton Bailey Farmers' Market-Daily,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,"Sun/Mon/Wed/Fri  7am-6pm, Tue/Thu  4am-6pm",Year-round,YR,N,Y,42.87206,N,-78.81997,Y,"(42.87206, -78.81997)"
Erie,Clinton Bailey Farmers' Market-Saturday,"1443-1517 Clinton St. Buffalo, corner of Clinton & Bailey Sts.",Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,"Saturday  4am-6pm, Nov-Apr  6am-12pm",Year-round,YR,Y,Y,42.87205,N,-78.81998,Y,"(42.87205, -78.81998)"
Erie,Elmwood Village WINTER Market,"51 Colonial Circle, St. John's Grace Episcopal Church",51 Colonial Circle,Buffalo,NY,14213,Karen Vilonen,7166915388,http://www.elmwoodmarket.org,Saturday  9am-1pm,November 25-January 13,M/X/W,N,Y,42.92031,N,-78.88248,Y,"(42.92031, -78.88248)"
Erie,Springville Farmers' Market,Gentner Auction 341 W. Main St. (Rt. 39),341 West Main St,Springville,NY,14141,Donna Goldhawk,7165600198,https://www.facebook.com/GENTNERSCOMMISSIONMARKET/,Wednesday  7am-3pm,Year-round,YR,Y,N,42.50906,N,-78.67989,Y,"(42.50906, -78.67989)"
Genesee,Leon Halat Jr Farm Stand,8282 Park Rd. Batavia,8282 Park Rd.,Batavia,NY,14020,Leon Halat Jr,7164744573,,Tue-Sat  9am-5pm,Year-round,YR,Y,N,43.01245,N,-78.2021,Y,"(43.01245, -78.2021)"
Greene,Black Horse Farms Farm Stand,10094 Rt. 9W,10094 Rte 9W,Athens,NY,12015,Chellie Apa,5187318776,http://www.blackhorsefarms.com,Daily  9am-5pm,March 24-December 24,W/P/M/X,Y,N,42.30634,N,-73.85043,Y,"(42.30634, -73.85043)"
Greene,Fromer Market Gardens Farm Stand,6120 Main St.  Tannersville,6120 Main Street,Tannersville,NY,12485,Zach Kalas,5185895050,,Saturday  9am-3pm,Year-round,YR,Y,N,42.19546,N,-74.13889,Y,"(42.19546, -74.13889)"
Herkimer,Dolgeville WINTER Farmers'  Market,78 South Main Street Askarada Place,78 South Main Street,Dolgeville,NY,13329,Dean Foreman,5187289602,,"1st and 3rd Sats  9am-1pm, Sats weekly in December",January-April,W/P,N,N,43.09993,N,-74.77387,Y,"(43.09993, -74.77387)"
Herkimer,Ilion Farmers' Market,437 Otsego St. (State Rt 51 S),437 Otsego St. (State Rt 51 S),Ilion,NY,13357,William Richards,3158953000,,"Sunday 12pm-4pm, Thursday 12pm-6pm, Fri/Sat 10am-6pm",Year-round,YR,Y,N,43.00177,N,-75.04566,Y,"(43.00177, -75.04566)"
Herkimer,Little Falls WINTER Farmers Market,Travelodge 20 Albany St.,20 Albany St.,Little Falls,NY,13365,Michael Skwara,3159850088,,2nd & 4th Sat  9am-1pm,November-April,M/X/W/P,N,N,43.042006,N,-74.859812,Y,"(43.042006, -74.859812)"
Herkimer,MAWS Farm Stand,7342 Main Street Newport,7342 Main Street,Newport,NY,13416,Michael Skwara,3159850088,http://www.mawsfarm.com,"Mon-Sat  9am-6pm, Sunday  10am-6pm, hours change November",Year-round,YR,Y,Y,43.18096,N,-75.01054,Y,"(43.18096, -75.01054)"
Kings,Bartel-Pritchard Square Sunday Greenmarket,Prospect Park West 15th St. inside park,Prospect Park West and 14th Street,Brooklyn,NY,11215,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket/brooklyn/bartel-pritchard-square-wed,"Sunday  8am-3pm, Opens May 6, 2018",Year-round,YR,Y,Y,40.66094,N,-73.97979,Y,"(40.66094, -73.97979)"
Kings,Bartel-Pritchard Square Wed Greenmarket,Prospect Park West 15th St. inside park,Prospect Park West and 14th Street,Brooklyn,NY,11215,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket,Wednesday 8am-3ppm,Year-round,YR,Y,Y,40.6616,N,-73.97939,Y,"(40.6616, -73.97939)"
Kings,Brooklyn Borough Hall Saturday Greenmarket,Court & Montague Sts. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket,Saturday 8am-5pm,Year-round,YR,Y,Y,40.69374,N,-73.99043,Y,"(40.69374, -73.99043)"
Kings,Brooklyn Borough Hall Thursday Greenmarket,Court & Montague Sts. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket,Thursday  8am-5pm,Year-round,YR,Y,Y,40.69374,N,-73.99043,Y,"(40.69374, -73.99043)"
Kings,Brooklyn Borough Hall Tuesday Greenmarket,Court & Montague Sts. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket/brooklyn/boro-hall-sa,Tuesday  8am-5pm,Year-round,YR,Y,Y,40.69374,N,-73.99043,Y,"(40.69374, -73.99043)"
Kings,Carroll Gardens Greenmarket,Carroll St. btwn Smith & Court Sts.,Carroll St and Court St,Brooklyn,NY,11231,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Sunday  8am-2pm,Year-round,YR,Y,Y,40.68106,N,-73.99653,Y,"(40.68106, -73.99653)"
Kings,Cortelyou Greenmarket,Cortelyou Rd. btwn Argyle & Rugby Rds.,1399 Cortelyou Rd,Brooklyn,NY,11226,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket/brooklyn/cortelyou,Sunday  8am-3pm,Year-round,YR,Y,Y,40.64044,N,-73.96617,Y,"(40.64044, -73.96617)"
Kings,Fort Greene Park Greenmarket,Washington Park btwn Dekalb Ave. & Willoughby St.,Washington Park and DeKalb Ave,Brooklyn,NY,11205,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket/brooklyn/fort-greene,Saturday  8am-3pm,Year-round,YR,Y,Y,40.68962,N,-73.97313,Y,"(40.68962, -73.97313)"
Kings,Grand Army Plaza Greenmarket,Flatbush Ave. & Prospect Park West,Flatbush Ave and Grand Army Plaza,Brooklyn,NY,11238,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Saturday  8am-4pm,Year-round,YR,Y,Y,40.67412,N,-73.9695,Y,"(40.67412, -73.9695)"
Kings,Isabahlia WINTER Farmers' Market,The Greenhouse on 93 New Lots Ave. Brooklyn,93 New Lots Ave,Brooklyn,NY,11212,Brenda Thompson-Duchene,7184983174,http://www.isabahlialoefinc.org,Saturday  8am-1pm,November 3-December 27,M/X,Y,Y,40.65817,N,-73.90181,Y,"(40.65817, -73.90181)"
Kings,Kensington Youthmarket,Ft. Hamilton Pkwy btwn E. 4th & E. 5th Sts.,Fort Hamilton Pkwy and East 5th St,Brooklyn,NY,11218,Kori Petrovic,2127887900,http://www.grownyc.org/youthmarket,Saturday  8am-3pm,June 2-December 22,M/X,Y,Y,40.64917,N,-73.97659,Y,"(40.64917, -73.97659)"
Kings,McCarren Park/Greenpoint Greenmarket,Union Ave btwn Driggs Ave & N 12th St,N 12th Street and Driggs Ave,Brooklyn,NY,11222,Pam Knepper,2127887900,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Saturday  8am-3pm,Year-round,YR,Y,Y,40.72046,N,-73.95269,Y,"(40.72046, -73.95269)"
Kings,Park Slope Farmers' Market,4th Street at 5th Ave.  near PS 51,Fourth Street and Fifth Avenue,Brooklyn,NY,11215,Emily Lee,9149234837,http://www.downtoearthmarkets.com,Sunday 10am-5pm,Year-round,YR,Y,Y,40.6722,N,-73.98379,Y,"(40.6722, -73.98379)"
Lewis,Colwell's Farm Stand and Garden Center,6007 State Route 12 Glenfield,6007 State Route 12,Glenfield,NY,13343,Michael Colwell,3153767402,http://www.colwellsfarmmarket.com,"Mon-Sat  8am-7pm, Sunday  9am-6pm",April 1-December 24,P/M/X,Y,Y,43.71844,N,-75.41148,Y,"(43.71844, -75.41148)"
Madison,Cazenovia WINTER Farmers' Market,"American Legion Hall, 26 Chenango St",26 Chenango Street,Cazenovia,NY,13035,Aileen Randolph,3154154426,http://www.cazenoviachamber.com,3rd Saturday  10am-1pm,November 18 -April 21,M/X/W/P,N,N,42.92467,N,-75.85168,Y,"(42.92467, -75.85168)"
Madison,Parry's Hardware WINTER Farmers' Market,100 Utica Street Hamilton,100 Utica Street,Hamilton,NY,13346,Gwenn Werner,3158240002,http://www.parryshamilton.com,2nd Sat  10am-1pm,November-April,M/X/W/P,N,N,42.832844,N,-75.548027,Y,"(42.832844, -75.548027)"
Monroe,Brightly's Farm Market,525 Drake Rd.  Hamlin,525 Drake Rd.,Hamlin,NY,14464,Betsy Brightly,5856364337,http://www.brightlyfarms.com,"May-Dec M-Sa 9am-6pm, Jan-Apr  M-Fr 9am-5pm",Year-round,YR,Y,Y,43.29471,N,-77.94344,Y,"(43.29471, -77.94344)"
Monroe,Brighton WINTER Farmers' Market,Brookside Center  220 Idlewood Rd. Rochester,220 Idlewood Road,Rochester,NY,14618,Sue Gardner-Smith,5852698918,http://www.brightonfarmersmarket.org,Sunday  1pm-4pm,Nov 26-Dec 31,M/X/W,Y,Y,43.11275,Y,-77.56809,Y,"(43.11275, -77.56809)"
Monroe,Kirby's Farm Market,9739 Ridge Road Brockport,9739 Ridge Rd,Brockport,NY,14420,Linda Kirby,5856372600,,"Mon-Sat 9am-7pm  , Sunday  10am-5pm",May 1-December 24,P/M/X,Y,N,43.25194,N,-77.98451,Y,"(43.25194, -77.98451)"
Monroe,Partyka Farms Farm Stand,1420 County Line Rd. Kendall,1420 County Line Rd.,Kendall,NY,14470,Lora Partyka,5857520258,http://www.partykafarms.com,Daily  9am-9pm,April 12-December 27,P/M/X,Y,Y,43.29811,N,-77.99548,Y,"(43.29811, -77.99548)"
Monroe,Rochester Public Market -Thursday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Thursday  6am-1pm,Year-round,YR,Y,Y,43.1657,Y,-77.59016,Y,"(43.1657, -77.59016)"
Monroe,Rochester Public Market -Tuesday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Tuesday  6am-1pm,Year-round,YR,Y,Y,43.1657,Y,-77.59016,Y,"(43.1657, -77.59016)"
Monroe,Rochester Public Market-Saturday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Saturday 5am-3pm,Year-round,YR,Y,Y,43.1657,Y,-77.59016,Y,"(43.1657, -77.59016)"
Monroe,The Farmers Daughter Farm Stand,8089 W Ridge Rd.  Brockport,8089 W Ridge Rd.,Brockport,NY,14420,Clayton Christ,5854513267,http://www.thefarmersdaughterny.com,"Mon-Sat  9am-9pm, Sunday  10am-8pm",May 1-December 28,P/M/X,Y,N,43.23014,N,-77.91477,Y,"(43.23014, -77.91477)"
Montgomery,Damin Farm Stand,8075 State Highway 5 St. Johnsville,8075 State Highway 5,St. Johnsville,NY,13452,Barb Damin,5185682643,,Daily  9am-6pm,Year-round,YR,Y,Y,43.00497,N,-74.72233,Y,"(43.00497, -74.72233)"
