X,Y,OBJECTID_12,OBJECTID_1,OBJECTID,DIR_P,STREET,DIR_S,STYPE,X1_DIR_P,X1_STRT,X1_DIR_S,X1_STYPE,X2_DIR_P,X2_STRT,X2_DIR_S,X2_STYPE,TR_DIR,SPOT,ZIP,BSI_DIST,BSI_ID,GPS_STAT,STATUS,IN_SERVICE,BLOCK,SHELTER,WITH_SHLTR,SH_BENCH,SH_QUAN,BENCH,WITH_BNCH,BN_QUAN,TR_CAN,WITH_TCAN,TR_QUAN,CURR_EDIT,COMMENT,SOURCE,CHG_PERS,ATT_DATE,GPS_DATE,SRVD_RTS,STOPABBR,ONSTREET,ATSTREET,STOPNAME,POINT_X,POINT_Y,LON,LAT,TO_DELETE,FAREZONEID,WITH_KIOSK,RT_LAYOVER,ADAComp,SRVD_RTS_O,GlobalID,created_us,created_da,last_edite,last_edi_1
-95.391074307425171,29.736938652355708,2011,3327,3327, ,MONTROSE, ,BLVD, ,BRANARD, ,ST, , , , ,N,NS,77006,21,3335,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS   moved 7ft S,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONBRANN,MONTROSE BLVD,BRANARD ST,MONTROSE BLVD @ BRANARD ST,3113615.49998353,13833164.9998504,0,0,N, , , , ,- 56 -,{8BE4095D-3AC2-497D-983A-09704774797D}, ,,sn01,2016-02-22T00:00:00.000Z
-95.391095563386514,29.738692343404573,2012,3328,3328, ,MONTROSE, ,BLVD,W,ALABAMA, ,ST, , , , ,N,NS,77006,21,3336,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 10ft NE,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,1999-02-04T00:00:00.000Z,- 56 298 -,MONALANN,MONTROSE BLVD,ALABAMA ST,MONTROSE BLVD @ ALABAMA ST,3113588.75003703,13833789.9999127,0,0,N, , , , ,- 56 -,{8499A3D6-3F74-46E1-B970-31B107289204}, ,,sn01,2016-02-22T00:00:00.000Z
-95.391109789624849,29.74038836693639,2013,3329,3329, ,MONTROSE, ,BLVD, ,KIPLING, ,ST, , , , ,N,NS,77006,21,3337,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0, ,Jc0204th.shp, ,1999-02-04T00:00:00.000Z,1999-02-04T00:00:00.000Z,- 56 -,MONKIPNN,MONTROSE BLVD,KIPLING ST,MONTROSE BLVD @ KIPLING ST,3113564.50008553,13834422.999959,0,0,N, , , , ,- 56 -,{8ACCD8AC-78B8-49F2-B403-678E85F1AB96}, ,,sn01,2016-02-18T00:00:00.000Z
-95.391137929760873,29.742235803957989,2014,3330,3330, ,MONTROSE, ,BLVD, ,HAWTHORNE, ,ST, , , , ,N,NS,77006,21,3338,Y,A,1, , ,0, ,0,C,1,1, ,0,0,0,Updated location by aerial photo in GIS  moved 4ft E  verified amenity,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONHAWNN,MONTROSE BLVD,HAWTHORNE ST,MONTROSE BLVD @ HAWTHORNE ST,3113534.50014552,13835080.9999554,0,0,N, , , , ,- 56 -,{EE7E1A34-A88E-4274-AAA9-2977E222E7D4}, ,,sn01,2016-02-22T00:00:00.000Z
-95.39133680190217,29.742518652161881,2015,3331,3331, ,MONTROSE, ,BLVD, ,HAWTHORNE, ,ST, , , , ,S,NS,77006,21,3339,Y,A,1, ,2,1,W,1, ,0,0,M,1,1,0,Updated location,Aerial Photo,spn,2009-03-17T00:00:00.000Z,1999-02-04T00:00:00.000Z,- 56 -,MONHAWSN,MONTROSE BLVD,HAWTHORNE ST,MONTROSE BLVD @ HAWTHORNE ST,3113472.08261944,13835188.4187038,0,0,N, , , , ,- 56 -,{094B0B68-C097-47BC-B2B3-DBB1BC28BD12}, ,, ,
-95.391650860320055,29.746210350352481,2016,3333,3333, ,MONTROSE, ,BLVD, ,MISSOURI, ,ST, , , , ,N,NS,77006,21,3341,Y,A,1, , ,0, ,0,C,1,1,C,1,1,0,Updated location by aerial photo in GIS  moved 5ft S  verified amenities,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONMISNN,MONTROSE BLVD,MISSOURI ST,MONTROSE BLVD @ MISSOURI ST,3113329.99989836,13836523.0000241,0,0,N, , , , ,- 56 -,{4E120C29-6CEB-4109-B117-26970945BEF6}, ,,sn01,2016-02-22T00:00:00.000Z
-95.391888120890528,29.747985728942144,2017,3334,3334, ,MONTROSE, ,BLVD, ,FAIRVIEW, ,ST, , , , ,N,NS,77006,21,3342,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS   moved 6ft SE,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONFAINN,MONTROSE BLVD,FAIRVIEW ST,MONTROSE BLVD @ FAIRVIEW ST,3113232.75009286,13837167.0000484,0,0,N, , , , ,- 56 -,{1C0AEAD4-3D1D-4503-B48C-321D0B928C43}, ,,sn01,2016-02-22T00:00:00.000Z
-95.391984337045344,29.751665580320445,2018,3336,3336, ,MONTROSE, ,BLVD, ,BOMAR, ,ST, , , , ,N,NS,77006,21,3344,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS   moved 14ft S,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONBOMNN,MONTROSE BLVD,BOMAR ST,MONTROSE BLVD @ BOMAR ST,3113161.99990627,13838514.9999771,0,0,N, , , , ,- 56 -,{0B8CC387-DE23-440A-9402-6C37715035DE}, ,,sn01,2016-02-22T00:00:00.000Z
-95.398063090442264,29.759385263830247,2019,3339,3339, ,WAUGH, ,DR, ,D'AMICO, ,ST, , , , ,N,NS,77019,21,3347,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Removed route 41,Service Planning,VW,2016-06-14T00:00:00.000Z,2010-03-30T00:00:00.000Z,- 40 -,WAUD'ANN,WAUGH DR,D'AMICO ST,WAUGH DR @ D'AMICO ST,3111149.74999377,13841253.0000785,0,0,N, , , , ,- 18 56 -,{23F5DC9E-D954-4D4A-9682-D46C1B60ACA0}, ,,vw08,2016-06-17T00:00:00.000Z
-95.398066642182371,29.760875705718469,2020,3340,3340, ,WAUGH, ,DR, ,ALLEN, ,PKWY, , , , ,N,NS,77019,21,3348,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Removed route 41,Service Planning,VW,2016-06-14T00:00:00.000Z,2010-03-30T00:00:00.000Z,- 40 -,WAUALLNN,WAUGH DR,ALLEN PKWY,WAUGH DR @ ALLEN PKWY,3111131.93408452,13841794.6856749,0,0,N, , , , ,- 18 56 -,{6F57B8BA-E3CD-4FC2-8095-41B5B0E72AC2}, ,,vw08,2016-06-17T00:00:00.000Z
-95.397270427734568,29.766459945344312,2021,3341,3341,S,HEIGHTS, ,BLVD, ,WILLIA, ,ST, , , , ,N,NS,77007,21,3349,Y,A,1, , ,0, ,0,C,1,1, ,0,0,0,Updated location by aerial photo in GIS  moved 10ft E  added C bench,Google Maps Street View,spn,2016-01-26T00:00:00.000Z,2016-01-26T00:00:00.000Z,- 40 -,HEIWILNN,HEIGHTS BLVD,WILLIA ST,HEIGHTS BLVD @ WILLIA ST,3111312.49999636,13843827.9998498,0,0,N, , , , ,- 56 -,{F6D64681-B5EB-468B-8E14-105A5A658504}, ,,sn01,2016-02-22T00:00:00.000Z
-95.397008691433271,29.76863351017229,2022,3342,3342,S,HEIGHTS, ,BLVD, ,WASHINGTON, ,AVE, , , , ,N,NS,77007,21,3350,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 6ft SE,Google Maps Street View,spn,2016-01-26T00:00:00.000Z,2016-01-26T00:00:00.000Z,- 40 -,HEIWASNN,HEIGHTS BLVD,WASHINGTON AVE,HEIGHTS BLVD @ WASHINGTON AVE,3111377.74986586,13844622.9999002,0,0,N, , , , ,- 56 -,{0B800364-23A0-43A5-BCF9-794E2F98C987}, ,,sn01,2016-02-22T00:00:00.000Z
-95.3971136454754,29.77015480801111,2023,3343,3343,S,HEIGHTS, ,BLVD, ,CENTER, ,ST, , , , ,N,NS,77007,21,3351,Y,A,1, , ,0, ,0,C,1,1,C,1,1,0,Updated location by aerial photo in GIS  moved 5 ft E  verified amenities,Google Maps Street View,spn,2016-01-26T00:00:00.000Z,2016-01-26T00:00:00.000Z,- 40 -,HEICENNN,HEIGHTS BLVD,CENTER ST,HEIGHTS BLVD @ CENTER ST,3111326.74996786,13845178.0001025,0,0,N, , , , ,- 56 -,{BDC4A37A-A633-430F-80D2-B8498D7EDF87}, ,,sn01,2016-02-22T00:00:00.000Z
-95.397127933956639,29.771306516249389,2024,3344,3344,S,HEIGHTS, ,BLVD, ,CENTER, ,ST, , , , ,N,FS,77007,21,3352,Y,A,1, ,4,1, ,1, ,0,0,C,1,1,0,Updated location by aerial photo in GIS  moved 6ft SE  verified amenities,Google Maps Street View,spn,2016-02-26T00:00:00.000Z,2016-02-26T00:00:00.000Z,- 40 -,HEICENNF,HEIGHTS BLVD,CENTER ST,HEIGHTS BLVD @ CENTER ST,3111308.75000386,13845599.9835105,0,0,N, , , , ,- 56 50 -,{DD7EFE67-16F3-45DC-811D-85C88F843E93}, ,,sn01,2016-04-04T00:00:00.000Z
-95.39716759133583,29.772862228547268,2025,3345,3345, ,HEIGHTS, ,BLVD, ,CENTER, ,ST, ,2ND, ,ST,N,MB,77007,21,3353,Y,A,1, ,2,1,W,1, ,0,0,C,1,1,0,Updated location by aerial photo in GIS  moved 6ft E  Verified amenities,Google Maps Street View,spn,2016-02-26T00:00:00.000Z,2016-02-26T00:00:00.000Z,- 40 -,HEICENNM,HEIGHTS BLVD,CENTER ST,HEIGHTS BLVD @ CENTER ST,3111278.75006387,13846161.000105,0,0,N, , , , ,- 56 50 -,{680EE00B-E190-4657-8533-51ED398F8913}, ,,sn01,2016-04-04T00:00:00.000Z
-95.39719440845461,29.774088375364318,2026,3346,3346, ,HEIGHTS, ,BLVD, ,2ND, ,ST, , , , ,N,NS,77007,21,3354,Y,A,1, ,2,1,W,1, ,0,0,C,1,1,0,Verified location by aerial photo in GIS  not moved  chngd C can to M can,Google Maps Strteet View,spn,2016-02-26T00:00:00.000Z,2016-02-26T00:00:00.000Z,- 40 -,HEI2NDNN,HEIGHTS BLVD,2ND ST,HEIGHTS BLVD @ 2ND ST,3111260.5545622,13846605.5323524,0,0,N, , , , ,- 56 50 -,{2CE46FE4-E2F8-45B9-8A0A-6D5DB6807A20}, ,,sn01,2016-04-04T00:00:00.000Z
-95.397210283488718,29.776021654463548,2027,3347,3347, ,HEIGHTS, ,BLVD, ,KATY, ,FWY, , , , ,N,NS,77007,21,3355,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 7ft SW,Google Maps Street View,spn,2016-05-06T00:00:00.000Z,2016-05-06T00:00:00.000Z,- 40 -,HEIKATNN,HEIGHTS BLVD,KATY FWY,HEIGHTS BLVD @ KATY FWY,3111227.75607136,13847311.1106657,0,0,N, , , ,N,- 56 50 -,{9333E54E-0F18-4B23-9C34-638F0DDEF5D3}, ,,vw08,2016-06-20T00:00:00.000Z
-95.40830144757976,29.761473507175431,2028,3348,3348, ,MEMORIAL, ,DR, ,SHEPHERD, ,DR, , , , ,E,FS,77007,21,3356,Y,A,1, ,4,1,W,1, ,0,0,C,1,1,0,Updated location by aerial photo in GIS  moved 4ft S  verified amenities,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 20 -,MEMSHEEF,MEMORIAL DR,SHEPHERD DR,MEMORIAL DR @ SHEPHERD DR,3107879.2499731,13841916.0000648,0,0,N, , , , ,- 6 -,{DE479C7A-E4EE-402C-A6C2-C96F98EF33EE}, ,,sn01,2016-04-07T00:00:00.000Z
-95.375667300688818,29.757834325751848,2029,3349,3349,W,DALLAS, ,ST, ,CROSBY, , , , , , ,W,NS,77019,21,3357,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 14ft E,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALCRBWN,DALLAS ST,CROSBY,DALLAS ST @ CROSBY,3118255.15901127,13840907.400376,0,0,N, , , , ,- 18 -,{DA3380F7-38C0-4A03-BA58-054AA062B894}, ,,sn01,2016-04-04T00:00:00.000Z
-95.379159539088661,29.757976504842873,2030,3350,3350,W,DALLAS, ,ST, ,VALENTINE, ,ST, , , , ,W,FS,77019,21,3358,Y,A,1, ,5,1, ,1, ,0,0,C,1,1,0,Updated location by aerial photo in GIS  moved 7ft S  verified amenities,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 -,DALVALWF,DALLAS ST,VALENTINE ST,DALLAS ST @ VALENTINE ST,3117158.82852678,13840931.9826759,0,0,N, , , , ,- 18 -,{66603AE4-5D7F-4B97-8816-E07CE1EE4428}, ,,sn01,2016-04-04T00:00:00.000Z
-95.381289785168022,29.757957216374752,2031,3351,3351,W,DALLAS, ,ST, ,WILSON, ,ST, , , , ,W,NS,77019,21,3359,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 4ft NW,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALWILWN,DALLAS ST,WILSON ST,DALLAS ST @ WILSON ST,3116488.75014253,13840896.0001364,0,0,N, , , , ,- 18 -,{9A315710-7EF5-4BA7-9569-947EA4BDAE67}, ,,sn01,2016-04-04T00:00:00.000Z
-95.382665823647542,29.757754700899529,2032,3352,3352,W,DALLAS, ,ST, ,GILLETTE, ,ST, , , , ,W,NS,77019,21,3360,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS moved 72ft E,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALGILWN,DALLAS ST,GILLETTE ST,DALLAS ST @ GILLETTE ST,3115978.2498512,13840804.9999903,0,0,N, , , , ,- 18 -,{B8379E34-71C0-4616-A2C3-4DD2C41BF686}, ,,sn01,2016-04-04T00:00:00.000Z
-95.385487036620333,29.757688635984426,2033,3353,3353,W,DALLAS, ,ST, ,TAFT, ,ST, , , , ,W,NS,77019,21,3361,Y,A,1, ,5,1, ,1, ,0,0,C,1,1,0,Updated location by aerial photo in GIS  moved 3ft NW  verified amenities,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALTAFWN,DALLAS ST,TAFT ST,DALLAS ST @ TAFT ST,3115160.12025386,13840757.483353,0,0,N, , , , ,- 18 -,{D4A70D20-F698-4163-9305-3EB4D60968D3}, ,,sn01,2016-04-04T00:00:00.000Z
-95.38755565700454,29.757642058415005,2034,3354,3354,W,DALLAS, ,ST, ,TAFT, ,ST, ,STANFORD, ,ST,W,MB,77019,21,3362,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 4ft NW,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALTAFWM,DALLAS ST,TAFT ST,DALLAS ST @ TAFT ST,3114503.49984795,13840720.0001603,0,0,N, , , , ,- 18 -,{EEA0404C-4261-41F4-B5C8-7797081F1E19}, ,,sn01,2016-04-04T00:00:00.000Z
-95.391659582918138,29.757550262837928,2035,3355,3355,W,DALLAS, ,ST, ,MONTROSE, ,BLVD, , , , ,W,NS,77019,21,3363,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 3ft NW,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALMONWN,DALLAS ST,MONTROSE BLVD,DALLAS ST @ MONTROSE BLVD,3113202.75015286,13840646.9999782,0,0,N, , , , ,- 18 -,{799C1878-D786-4EA9-BEC8-4809BC4BFA10}, ,,sn01,2016-04-04T00:00:00.000Z
-95.394601755337973,29.757497453845644,2036,3356,3356,W,DALLAS, ,ST, ,EBERHARD, , , , , , ,W,NS,77019,21,3364,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 19ft SE,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALEBEWN,DALLAS ST,EBERHARD,DALLAS ST @ EBERHARD,3112268.60569569,13840600.6867506,0,0,N, , , , ,- 18 -,{CA5A8C2D-BBE0-4BBD-971D-6A441299F627}, ,,sn01,2016-04-04T00:00:00.000Z
-95.396230568917389,29.757452257212922,2037,3357,3357,W,DALLAS, ,ST, ,JOE ANNIE, ,ST, , , , ,W,NS,77019,21,3365,Y,A,1, ,4,1,W,1, ,0,0,C,1,1,0,Updated location by aerial photo in GIS  moved 80ft W post bldg construc,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALJOEWN,DALLAS ST,JOE ANNIE ST,DALLAS ST @ JOE ANNIE ST,3111831.99994162,13840570.0001322,0,0,N, , , , ,- 18 -,{396A2996-76BC-4FB7-98C7-922323B1F89E}, ,,sn01,2016-04-04T00:00:00.000Z
-95.397825834832759,29.757412460282325,2038,3358,3358,W,DALLAS, ,ST, ,WAUGH, ,DR, , , , ,W,NS,77019,21,3366,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 23ft W,Google Maps Street View,spn,2016-03-07T00:00:00.000Z,2016-03-07T00:00:00.000Z,- 40 41 -,DALWAUWN,DALLAS ST,WAUGH DR,DALLAS ST @ WAUGH DR,3111268.75008386,13840537.9998681,0,0,N, , , , ,- 18 -,{C352533E-DA6E-4F72-800F-545F0413E6BC}, ,,sn01,2016-04-04T00:00:00.000Z
-95.400146255815613,29.757273211171032,2039,3359,3359,W,DALLAS, ,ST, ,ROCHOW, ,ST, , , , ,W,NS,77019,21,3367,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Made active  added rte 41,May 2016 Service Change,spn,2016-05-12T00:00:00.000Z,1999-02-04T00:00:00.000Z,- 41 -,DALROCWN,DALLAS ST,ROCHOW ST,DALLAS ST @ ROCHOW ST,3110512.74995545,13840465.0000141,0,0,N, , , ,Y,--,{31A56FF7-874E-4F66-8EC0-AEB61ED155A7}, ,,vw08,2016-06-09T00:00:00.000Z
-95.402221026692786,29.757251899727834,2040,3360,3360,W,DALLAS, ,ST, ,DUNLAVY, ,ST, , , , ,W,NS,77019,21,3368,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Made active  added rte 41,May 2016 Service Change,spn,2016-05-12T00:00:00.000Z,1999-02-04T00:00:00.000Z,- 41 -,DALDUNWN,DALLAS ST,DUNLAVY ST,DALLAS ST @ DUNLAVY ST,3109854.9999586,13840437.0000701,0,0,N, , , ,Y,--,{939C8895-F5CA-44BC-A3A0-8CD77BAB8B6B}, ,,vw08,2016-06-09T00:00:00.000Z
-95.405043548319412,29.757247578204279,2041,3362,3362,W,DALLAS, ,ST, ,TIRRELL, ,ST, ,MARSTON, ,ST,W,MB,77019,21,3370,Y,A,1, ,4,1,W,1, ,0,0,C,1,1,0,Made active added rte 41,May 2016 Service Change,spn,2016-05-12T00:00:00.000Z,2012-03-01T00:00:00.000Z,- 41 -,DALTIRWM,DALLAS ST,TIRRELL ST,DALLAS ST @ TIRRELL ST,3108959.91907161,13840407.8944853,0,0,R, , , ,Y,- 3 -,{F25F25B3-B13E-4B57-A24B-21F13FD20A73}, ,,vw08,2016-06-09T00:00:00.000Z
-95.405952193077212,29.757225472225382,2042,3363,3363,W,DALLAS, ,ST, ,MARSTON, ,ST, , , , ,W,NS,77019,21,3371,Y,A,1, ,4,1,W,1, ,0,0,C,1,1,0,Made active added rte 41,May 2016 Service Change,spn,2016-05-12T00:00:00.000Z,2012-03-01T00:00:00.000Z,- 41 -,DALMARWN,DALLAS ST,MARSTON ST,DALLAS ST @ MARSTON ST,3108672.00002803,13840391.0001621,0,0,R, , , ,Y,- 3 -,{27DC7F5A-C291-4B54-A682-4E076BC98DE2}, ,,vw08,2016-06-09T00:00:00.000Z
