Status,As of Date,Federal Agency,Funding Source,Program Description,Project,Project Description,Project Type,County,Municipality,Vendor,Applicant,Route,Direction,Mile Post Start,Mile Post End,Location,Damage Description ,Structure #,Completion Date,FHWA Obligated Amount,Labor Amount,Equipment Amount,Material Amount,Total Cost,Awaiting FHWA Amount,FHWA Reimbursement Amount,Agency Cost,Obligated Amount,Disbursed Amount
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-BER2,Repair and replace damaged traffic signal components., ,BERGEN,COUNTYWIDE,Bergen County,LOCAL AID,Various,Various,Various,Various,Various Locations Countywide,Repair of traffic signals damaged by high winds., ,04/18/2013,323658.08,,,,323658.08,,323658.08,0.00,323658.08,323658.08
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-BUR1,Repair and replace damaged traffic signal components., ,BURLINGTON,COUNTYWIDE,Burlington County,LOCAL AID,Various,Various,Various,Various,Various Locations,"Damage to traffic signals - Spun heads, broken visors, rotated arms, dead batteries, overhead signage", ,,42080.63,,,,42080.63,,42080.63,0.00,42080.63,42080.63
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP1,Removal and replacement of concrete slabs. Repaving of roadway surface., ,CAPE MAY,CAPE MAY CITY,Cape May County,LOCAL AID,CR 604,Various,Various,Various,Beach Ave (CR 604),Concrete subbase heaved from storm resulting in break-up of overlying asphalt surface course., ,,110802.50,,,,110802.50,,110802.50,0.00,110802.50,110802.50
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP2,Rip-rap and fill placed at eroded areas. Embankment repaired in-kind., ,CAPE MAY,LOWER TOWNSHIP,Cape May County,LOCAL AID,CR 621,Various,1.8,1.8,Ocean Drive (CR 621) @ MP 1.8,Embankment about north abutment scoured away resulting in undermining of foundation and exposing timber piles., ,,,,,,196218.75,196218.75,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON10,"Replace guide rail, backfill eroded banks with stone", ,MONMOUTH,OCEAN TOWNSHIP,Monmouth County,LOCAL AID,Roseld Ave,Various,0.91,0.91,Bridge O-15. Roseld Ave MP 0.91,"Replace guide rail, backfill eroded banks with stone", ,,,,,,17200.00,17200.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP3,Removal of boulders. Repair of seawall breach near south abutment. Replacement of ACBM matting., ,CAPE MAY,AVALON BOROUGH,Cape May County,LOCAL AID,CR 619,Various,8.35,8.75,CR 619 (Ocean Drive) @ MP 8.35 to 8.75,"Pavement ripped from roadway and strewn to other side. Large 4' deep, 200' long hole adjacent to seawall, traversing toC/L of roadway.", ,,,,,,10951636.00,10951636.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP4,"The repairs consisted of milling and resurfacing over settled concrete slabs, cleaning and sealing joints, reconstruction of severely damaged asphalt areas.", ,CAPE MAY,UPPER TOWNSHIP,Cape May County,LOCAL AID,CR 619,Various,13.04,15.21,CR 619 (Landis Ave) @ MP 13.04 to 15.21,Concrete subbase settlement. Damage to drainage structure retaining wall., ,,,,,,455972.47,455972.47,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP5,"Emergency sheet pile driven to stop additional damage. Placement of permanent sheeting, riprap placement, and roadway reconstruction.", ,CAPE MAY,UPPER TOWNSHIP,Cape May County,LOCAL AID,CR 619,Various,15.6,15.9,Ocean Dr (CR 619) MP 15.6 to 15.9,Roadway foundation failed in a portion of Northbound lane and shoulder., ,,280000.00,,,,280000.00,,280000.00,0.00,280000.00,280000.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP6,Embankment repairs and roadway reconstruction., ,CAPE MAY,OCEAN CITY,Cape May County,LOCAL AID,CR 656,Various,0.6,0.7,"Ocean Drive (Garden Parkway C.R. 656, MP 0.60 - MP 0.70 near Ocean City-Longport Bridge Fishing Pier Parking Area.",The embankment in the close proximity to the edge of the roadway on the westerly side of Ocean Drive experienced significant scouring/erosion. Safety and stability of the roadway is of concern., ,,672710.73,,,,672710.73,,672710.73,0.00,672710.73,672710.73
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP7,Repair to timber fencder system and replacement of missing and damaged navigation lights., ,CAPE MAY,LOWER TOWNSHIP,Cape May County,LOCAL AID,"CR 619, CR 621",Various,Various,Various,CR 621 (Ocean Drive) & CR 619,Navigation lights missing or severely damaged. Timber fender system damages unknown at the time, ,,12903.02,1423.89,752.50,10726.63,12903.02,,12903.02,0.00,12903.02,12903.02
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CAP8,Repair and replace damaged traffic signal components., ,CAPE MAY,COUNTYWIDE,Cape May County,LOCAL AID,Various,Various,Various,Various,Various,Signal Equipment shorted out due to flooding. Some equipment was damaged and needed replacement. Same/Similar work was performed by local forces., ,,,11543.87,13671.62,20676.27,45891.76,45891.76,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-CUM1,Repair and replace Culvert, ,CUMBERLAND,COUNTYWIDE,Cumberland County,LOCAL AID,CR 607,Various,Various,Various,"County Route 607 Greenwich Road over Molly Wheaton Run, Mile Post 0.48",Storm tides from Superstorm Sandy caused significant undermining and loss of roadway support beneath the approach roadway of the culvert, ,,132000.00,,,,,,132000.00,,132000.00,132000.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD1,Repair and replacement of electrical and mechanical components of bridge. Repair and replace damaged traffic signal components., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,CR 508,Various,15.2,15.2,"Route 508 @ MP 15.2, Newark Jersey City Turnpike, between Route 7 & Route 280","Flooding on Rte 508 resulting in road closure due to Hurricane Sandy. Pump station on Rt 508 exclusively for roadway storm sewer as well as traffic signal at this location were inundated by flood waters, damaged and rendered inoperable. Repair/replacement of pumps and electrical components of pump station and traffic signals.", ,04/08/2013,671143.00,,,,671143.00,,671143.00,0.00,671143.00,671143.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD2,Repair and replace damaged traffic signal components., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,Various,Various,Various,Various,"JFK Blvd & Boulevard East, Passaic Ave, River Rd, Park Ave & Pennsylvania Ave, and multiple intersections throughout Hudson County",Storm damage and flooding on county roadways due to Hurricane Sandy resulted in traffic signals at intersections to be flooded and storm damaged rendering them inoperable., ,11/18/2012,110754.00,,,,110754.00,,110754.00,0.00,110754.00,110754.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD3,Repair and replacement of electrical and mechanical components of bridge., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,Various,Various,Various,Various,"Movable Bridges - Jackson St Bridge & Harrison/Clay St Bridge, East Newark over Passaic River",Water Damage to bridge's electrical systems and switches., ,08/16/2013,475500.00,,,,475500.00,,475500.00,0.00,475500.00,475500.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD4,Repair traffic signals and traffic signal electrical systems throughout Secaucus on Federal Aid Routes., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,Various,Various,Various,Various,Various,Damaged traffic signals and traffic signal electrical systems throughout Secaucus on Federal Aid Routes., ,,16413.36,,,,16413.36,,16413.36,0.00,16413.36,16413.36
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD5,"Repair to traffic signal heads, rotated mast arms and damaged wiring.", ,HUDSON,"NORTH BERGEN, UNION CITY",Hudson County,LOCAL AID,CR-501 & CR-691,Various,Various,MP 34.22,"John F. Kennedy Blvd. CR 501 at 32nd Street CR-691, MP 34.22","Damage to traffic signal heads, rotated mast arms and damaged wiring.", ,,8951.08,,,,8951.08,,8951.08,0.00,8951.08,8951.08
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-JC1,Repair and replace damaged traffic signal components. Replace damaged signs and sign posts., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,Various,Various,Various,Various,Jersey City,Traffic Signs and Signals, ,,635520.00,,,,635520.00,,635520.00,0.00,635520.00,635520.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON1,Scour4 and embankment protection. Replace bulkhead sheeting. Fender Repair., ,MONMOUTH,"BELMAR BOROUGH, AVON-BY-THE-SEA BOROUGH",Monmouth County,LOCAL AID,CR 18,Various,Various,Various,"CR 18, Structure No W-43","Structural damage, erosion, water intrusion and inundation of sand and debris deposition due to storm surge, wind, and off-track vehicles", ,,,53439.44,4399.50,10000.00,736107.96,736107.96,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON3,"Repair seawall, clean out and repair drainage system, remove and reconstruct asphalt, and damaged sidewalk.", ,MONMOUTH,"SPRING LAKE BOROUGH, BELMAR BOROUGH",Monmouth County,LOCAL AID,18,Various,2,2,Co Rt 18 (Ocean Ave) @ MP 2.0,"Damages to seawall, drainage system, roadway, and sidewalk", ,,,,,,106000.00,106000.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON4,Stabilize embankment and repair damaged pavement., ,MONMOUTH,MIDDLETOWN TOWNSHIP,Monmouth County,LOCAL AID,CR 12,Various,0.3,0.3,MT-24 on CR 12 @ MP 0.3,"Debris overtopping causing damages to guide rail, timber walkway, undermine of pavement and washout of embankment.", ,,,,,,1099400.00,1099400.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON5,"Repair sidewalk slab, replace missing bridge rail. Place rip-rap and fill.", ,MONMOUTH,DEAL BOROUGH,Monmouth County,LOCAL AID,Various,Various,1.45,1.45,Bridge O-19 MP 1.45,"Damage of sidewalk slab on bridge, missing bridge rail along west side of bridge, loss fill.", ,,,,,,183287.09,183287.09,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON8,"Replace guide rail, backfill eroded banks with stone", ,MONMOUTH,OCEANPORT BOROUGH,Monmouth County,LOCAL AID,33,Various,1.73,1.73,Co Bridge E-18 on Co Rt 33 MP 1.73,"Damage to guide rail, backfill eroded banks with stone", ,,,,,,39000.00,39000.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON9,Repair damage to wall at tie points with trash rack repair damages to sluice gate building, ,MONMOUTH,"LONG BRANCH CITY, LOCH ARBOUR VILLAGE",Monmouth County,LOCAL AID,Ocean Ave,Various,1.04,1.04,Bridge N-29 on Ocean Ave MP 1.04,Damage to wall at tie points with trash rack repair damages to sluice gate building, ,,,,,,13862.17,13862.17,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MOR1,Repair and replace damaged traffic signal components., ,MORRIS,LONG HILL TOWNSHIP,Morris County,LOCAL AID,CR 512,Various,13.6,23.1,"County Route 512, Valley Road & Main Avenue intersection (Mile Post 23.1), Valley Road & Mountain Avenue intersection (Mile Post 13.6), Long Hill Township.","High winds from Hurricane Sandy caused two (2) fuses to burn as well as two (2) 69 Watt bulbs and two (2) 135 Watt bulbs. Aluminum visor was missing at Main Ave. The traffic light at the intersection with Mountain Ave. was blown completely free from its supports, and damaged beyond repair; replacement of the traffic light was required.", ,02/22/2013,,,,,7618.00,7618.00,,,,
